url,title,description,category,imageUrl,imgLow,imgMid,imgHigh
"https://www.flipkart.com/food-products/pr?sid=eat&offer=nb:mp:013fc9ae15,nb:mp:01b7046915&hpid=W6F0HwLe__IiiD6DaWgXRqp7_Hsxr70nj65vMAAFKlc=&affid=srkrtp121",Extra 10% Off,"Vahdam, Vanalaya & more",dotd,https://rukminim1.flixcart.com/image/800/800/ku79vgw0/honey/1/l/i/500-forest-raw-honey-unprocessed-unpasteurized-pure-natural-original-imag7dfexrbzvtza.jpeg?q=90,https://rukminim1.flixcart.com/image/200/200/ku79vgw0/honey/1/l/i/500-forest-raw-honey-unprocessed-unpasteurized-pure-natural-original-imag7dfexrbzvtza.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/ku79vgw0/honey/1/l/i/500-forest-raw-honey-unprocessed-unpasteurized-pure-natural-original-imag7dfexrbzvtza.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/ku79vgw0/honey/1/l/i/500-forest-raw-honey-unprocessed-unpasteurized-pure-natural-original-imag7dfexrbzvtza.jpeg?q=90
"https://www.flipkart.com/mens-footwear/~cs-69s5x5lrgk/pr?sid=osp%2Ccil&p[]=facets.price_range.from%3DMin&p[]=facets.price_range.to%3D249&offer=nb:mp:013bc47616,nb:mp:01f92a4616&hpid=ZCHjdYqUB_OyiyxtSOYPGKp7_Hsxr70nj65vMAAFKlc=&affid=srkrtp121",Under ₹249,Men's Casual Shoes & more,dotd,https://rukminim1.flixcart.com/image/800/800/k5vcya80pkrrdj/shoe/u/m/n/7-pilot-weldone-original-imaey6rqvy4yy3vg.jpeg?q=90,https://rukminim1.flixcart.com/image/200/200/k5vcya80pkrrdj/shoe/u/m/n/7-pilot-weldone-original-imaey6rqvy4yy3vg.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/k5vcya80pkrrdj/shoe/u/m/n/7-pilot-weldone-original-imaey6rqvy4yy3vg.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/k5vcya80pkrrdj/shoe/u/m/n/7-pilot-weldone-original-imaey6rqvy4yy3vg.jpeg?q=90
"https://www.flipkart.com/mens-footwear/pr?sid=osp%2Ccil&p%5B%5D=facets.brand%255B%255D%3DWROGN%2BACTIVE&p%5B%5D=facets.brand%255B%255D%3DASIAN&p%5B%5D=facets.brand%255B%255D%3DHRX%2Bby%2BHrithik%2BRoshan&p%5B%5D=facets.brand%255B%255D%3DPOWER&p%5B%5D=facets.brand%255B%255D%3DSLAZENGER&p%5B%5D=facets.brand%255B%255D%3DNIVIA&p%5B%5D=facets.brand%255B%255D%3DLOTTO&p%5B%5D=facets.brand%255B%255D%3DLANCER&p%5B%5D=facets.brand%255B%255D%3DFILA&p%5B%5D=facets.brand%255B%255D%3DBEEROCK&p%5B%5D=facets.brand%255B%255D%3DCAMPUS&p%5B%5D=facets.price_range.from%3D399&p%5B%5D=facets.price_range.to%3DMax&offer=nb:mp:013bc47616,nb:mp:014141a016,nb:mp:01f92a4616&hpid=o9CpRHauxsjJ663h1PvlNKp7_Hsxr70nj65vMAAFKlc=&affid=srkrtp121",From ₹399,Sports Shoes & more,dotd,https://rukminim1.flixcart.com/image/800/800/ktep2fk0/shoe/d/k/g/7-acaseo003-41-wrogn-active-blue-original-imag6rzfeexynvy6.jpeg?q=90,https://rukminim1.flixcart.com/image/200/200/ktep2fk0/shoe/d/k/g/7-acaseo003-41-wrogn-active-blue-original-imag6rzfeexynvy6.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/ktep2fk0/shoe/d/k/g/7-acaseo003-41-wrogn-active-blue-original-imag6rzfeexynvy6.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/ktep2fk0/shoe/d/k/g/7-acaseo003-41-wrogn-active-blue-original-imag6rzfeexynvy6.jpeg?q=90
https://www.flipkart.com/musical-instruments/pr?sid=ypu&offer=nb:mp:01a8f34d18&hpid=B80boxqjBfvrAzEjtCXcEap7_Hsxr70nj65vMAAFKlc=&affid=srkrtp121,Extra 5% Off,Explore Now!,dotd,https://rukminim1.flixcart.com/image/800/800/koynr0w0/flute/s/j/w/combo-of-c-scale-6-hole-14-inch-d-natural-7-hole-18-inch-original-imag3b9ahqapre29.jpeg?q=90,https://rukminim1.flixcart.com/image/200/200/koynr0w0/flute/s/j/w/combo-of-c-scale-6-hole-14-inch-d-natural-7-hole-18-inch-original-imag3b9ahqapre29.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/koynr0w0/flute/s/j/w/combo-of-c-scale-6-hole-14-inch-d-natural-7-hole-18-inch-original-imag3b9ahqapre29.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/koynr0w0/flute/s/j/w/combo-of-c-scale-6-hole-14-inch-d-natural-7-hole-18-inch-original-imag3b9ahqapre29.jpeg?q=90
https://www.flipkart.com/pens-stationery/pr?sid=dgv&p%5B%5D=facets.price_range.from%3DMin&p%5B%5D=facets.price_range.to%3D1000000&offer=nb:mp:01d8802f08&hpid=LIqY-OWyUWFhS1v0kBVBg6p7_Hsxr70nj65vMAAFKlc=&affid=srkrtp121,Upto 70%+Extra 5% off,"Notebooks, Pens & more",dotd,https://rukminim1.flixcart.com/image/800/800/krtjgcw0/pen/p/b/o/majesta-monarc-blue-ball-pen-0-7-mm-blister-pack-premium-pen-for-original-imag5gw5mgywbswz.jpeg?q=90,https://rukminim1.flixcart.com/image/200/200/krtjgcw0/pen/p/b/o/majesta-monarc-blue-ball-pen-0-7-mm-blister-pack-premium-pen-for-original-imag5gw5mgywbswz.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/krtjgcw0/pen/p/b/o/majesta-monarc-blue-ball-pen-0-7-mm-blister-pack-premium-pen-for-original-imag5gw5mgywbswz.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/krtjgcw0/pen/p/b/o/majesta-monarc-blue-ball-pen-0-7-mm-blister-pack-premium-pen-for-original-imag5gw5mgywbswz.jpeg?q=90
"https://www.flipkart.com/clothing-and-accessories/~cs-89097lipbr/pr?sid=clo&collection-tab-name=T-shirts%2C+Jeans&p%5B%5D=facets.price_range.from%3D249&p%5B%5D=facets.price_range.to%3DMax&offer=nb:mp:015b655a18,nb:mp:01a25c3718,nb:mp:01e4e08618&hpid=gV6EaKZt5Qwr5RLmkIGlLKp7_Hsxr70nj65vMAAFKlc=&affid=srkrtp121",From₹249 +Extra10%Off,"T-Shirts, Jeans, Jackets...",dotd,https://rukminim1.flixcart.com/image/800/800/jw6pifk0/t-shirt/h/b/n/s-9045005-harvard-original-imafgwnud4qwgdak.jpeg?q=90,https://rukminim1.flixcart.com/image/200/200/jw6pifk0/t-shirt/h/b/n/s-9045005-harvard-original-imafgwnud4qwgdak.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/jw6pifk0/t-shirt/h/b/n/s-9045005-harvard-original-imafgwnud4qwgdak.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/jw6pifk0/t-shirt/h/b/n/s-9045005-harvard-original-imafgwnud4qwgdak.jpeg?q=90
"https://www.flipkart.com/bags-wallets-belts/~wallets-belts/pr?count=40&p%5B%5D=facets.ideal_for%255B%255D%3DMen&p%5B%5D=facets.ideal_for%255B%255D%3DBoys%2B%2526%2BGirls&p%5B%5D=facets.ideal_for%255B%255D%3DMen%2B%2526%2BWomen&p%5B%5D=facets.ideal_for%255B%255D%3DBoys&p%5B%5D=facets.price_range.from%3D99&p%5B%5D=facets.price_range.to%3DMax&sid=reh&sort=popularity&offer=nb:mp:017b1d1116,nb:mp:0198ce6816,nb:mp:01c7b3dc16&hpid=eTRmEnkvJS3rSSIbDlUsC6p7_Hsxr70nj65vMAAFKlc=&affid=srkrtp121",From ₹99+Upto 10%Off,Selling Fast!GrabNow!,dotd,https://rukminim1.flixcart.com/image/800/800/jv19qq80/accessories-combo/x/s/g/bw3095-hornbull-original-imafgffhcgzrucm7.jpeg?q=90,https://rukminim1.flixcart.com/image/200/200/jv19qq80/accessories-combo/x/s/g/bw3095-hornbull-original-imafgffhcgzrucm7.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/jv19qq80/accessories-combo/x/s/g/bw3095-hornbull-original-imafgffhcgzrucm7.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/jv19qq80/accessories-combo/x/s/g/bw3095-hornbull-original-imafgffhcgzrucm7.jpeg?q=90
https://www.flipkart.com/home-decor/stickers-wallpapers/stickers/pr?sid=arb%2Cyod%2Csi0&p%5B%5D=facets.is_gst%255B%255D%3DGST%2BInvoice%2BAvailable&offer=nb:mp:01919fe115&hpid=Fuz3vn8aSOU3gpQsQg62bqp7_Hsxr70nj65vMAAFKlc=&affid=srkrtp121,Extra 10% Offer,"WallBerry, Walltop & more",dotd,https://rukminim1.flixcart.com/image/800/800/k12go7k0/sticker/n/h/g/wall-stickers-wallpaper-3d-ivy-plant-nature-restaurant-office-original-imafknuyg7yghqha.jpeg?q=90,https://rukminim1.flixcart.com/image/200/200/k12go7k0/sticker/n/h/g/wall-stickers-wallpaper-3d-ivy-plant-nature-restaurant-office-original-imafknuyg7yghqha.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/k12go7k0/sticker/n/h/g/wall-stickers-wallpaper-3d-ivy-plant-nature-restaurant-office-original-imafknuyg7yghqha.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/k12go7k0/sticker/n/h/g/wall-stickers-wallpaper-3d-ivy-plant-nature-restaurant-office-original-imafknuyg7yghqha.jpeg?q=90
"https://www.flipkart.com/home-decor/pr?sid=arb&marketplace=FLIPKART&offer=nb:mp:010d3d0915,nb:mp:01b45f7915&hpid=b6lK7X-nlAFy2z2tkCJYVqp7_Hsxr70nj65vMAAFKlc=&affid=srkrtp121",Extra 10% Offer,"Wallpapers, Paintings & more",dotd,https://rukminim1.flixcart.com/image/800/800/jxhv1jk0/normal-photo-frame/f/w/c/phtoframe121-0o9-volga-original-imafhxbf667duape.jpeg?q=90,https://rukminim1.flixcart.com/image/200/200/jxhv1jk0/normal-photo-frame/f/w/c/phtoframe121-0o9-volga-original-imafhxbf667duape.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/jxhv1jk0/normal-photo-frame/f/w/c/phtoframe121-0o9-volga-original-imafhxbf667duape.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/jxhv1jk0/normal-photo-frame/f/w/c/phtoframe121-0o9-volga-original-imafhxbf667duape.jpeg?q=90
"https://www.flipkart.com/home-improvement/home-utilities-and-organizers/umbrellas/pr?sid=h1m,iee,kjp&offer=nb:mp:01c99e0517&hpid=C8uPbIOARuvUiG9Ii6-cNKp7_Hsxr70nj65vMAAFKlc=&affid=srkrtp121",From ₹249,Best Selling,dotd,https://rukminim1.flixcart.com/image/800/800/kpbipow0/umbrella/e/8/m/affinity-24-5-inch-2-fold-auto-open-eume-original-imag3h2fmhzggzwx.jpeg?q=90,https://rukminim1.flixcart.com/image/200/200/kpbipow0/umbrella/e/8/m/affinity-24-5-inch-2-fold-auto-open-eume-original-imag3h2fmhzggzwx.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/kpbipow0/umbrella/e/8/m/affinity-24-5-inch-2-fold-auto-open-eume-original-imag3h2fmhzggzwx.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/kpbipow0/umbrella/e/8/m/affinity-24-5-inch-2-fold-auto-open-eume-original-imag3h2fmhzggzwx.jpeg?q=90
